nfe,time_per_seq_s,rmse_u10,rmse_v10,rmse_t2m,rmse_qpepre,crps_u10,crps_v10,crps_t2m,crps_qpepre,csi_m,csi_p16,fss_p16_m,hss_m,far_m
1,0.478963,0.850145,0.851763,0.419956,0.563715,0.550947,0.561542,0.254483,0.158848,0.249864,0.047619,0.077499,0.331355,0.120563
2,0.188760,0.847635,0.850479,0.416818,0.564278,0.504071,0.514460,0.236915,0.148553,0.250881,0.047619,0.077499,0.332248,0.110531
3,0.227652,0.848219,0.853092,0.421742,0.564858,0.478038,0.490729,0.231239,0.143765,0.251874,0.047619,0.077499,0.333262,0.110821
4,0.269213,0.849387,0.857030,0.426526,0.565730,0.462696,0.477747,0.229553,0.141150,0.250651,0.047619,0.077499,0.331915,0.117929
5,0.310821,0.850896,0.860311,0.430339,0.566310,0.453071,0.470196,0.228766,0.139392,0.252871,0.063492,0.107371,0.336530,0.118824
6,0.347999,0.852182,0.862344,0.431892,0.566637,0.446388,0.464769,0.226675,0.138069,0.252733,0.063492,0.107371,0.336628,0.125902
8,0.427256,0.854923,0.867536,0.434647,0.567482,0.438146,0.459170,0.224492,0.136302,0.252552,0.063492,0.107371,0.336706,0.135021
10,0.508463,0.856801,0.872079,0.436636,0.567916,0.433613,0.457055,0.223449,0.135062,0.252276,0.062500,0.126534,0.336229,0.186237
12,0.607389,0.858416,0.875021,0.438293,0.568622,0.430732,0.455426,0.222780,0.134267,0.253288,0.062500,0.126534,0.338175,0.194450
16,0.749739,0.860893,0.880292,0.439330,0.569907,0.427761,0.454420,0.220993,0.133348,0.256921,0.076923,0.167837,0.344436,0.217272
20,0.932168,0.862950,0.884215,0.440840,0.570844,0.426483,0.454397,0.220714,0.132693,0.263060,0.107692,0.214995,0.354709,0.213019
25,1.115769,0.864738,0.886776,0.441564,0.572327,0.425459,0.454020,0.219973,0.132327,0.265694,0.123077,0.235497,0.359267,0.214140
32,1.362568,0.866756,0.890073,0.442726,0.573702,0.424892,0.454195,0.219692,0.131969,0.265317,0.123077,0.235497,0.358845,0.225322
40,1.640969,0.868429,0.892781,0.443883,0.574928,0.424505,0.454557,0.219756,0.131752,0.265265,0.123077,0.235497,0.358795,0.229790
50,2.055193,0.869583,0.894767,0.444086,0.576353,0.424252,0.454836,0.219225,0.131617,0.264785,0.121212,0.253624,0.358209,0.248458
