/home3/davidlcs/Econ-Rag/Local_LLM/test_meeting/Stormcast-Distilation/physicsnemo/distributed/manager.py:415: UserWarning: Could not initialize using ENV, SLURM or OPENMPI methods. Assuming this is a single process job
  warn(

================================================================
[2026-06-12 11:24:00] FlowCast NFE Pareto sweep
================================================================
[2026-06-12 11:24:00] [nfe_sweep] device     = cuda:0
[2026-06-12 11:24:00] [nfe_sweep] method     = flowcast
[2026-06-12 11:24:00] [nfe_sweep] data       = /home3/davidlcs/Econ-Rag/Local_LLM/test_meeting/Stormcast-Distilation/exp_3_train_2_5_yrs_val_1yr_tp1/zarr_exp3_L_24_H_24_train_2_5_years_full_cleaned_4_27_2026
[2026-06-12 11:24:00] [nfe_sweep] regression = /home3/davidlcs/Econ-Rag/Local_LLM/test_meeting/Stormcast-Distilation/runs/regression_zettabyte_v1_cleaned_4_27_2026/regression_zettabyte_cleaned_4_27_2026/run_0/checkpoints_regression/StormCastUNet.0.8000.mdlus
[2026-06-12 11:24:00] [nfe_sweep] flowcast   = /home3/davidlcs/Econ-Rag/Local_LLM/test_meeting/Stormcast-Distilation/runs/flowcast_zettabyte_v1_cleaned_4_27_2026/flowcast_zettabyte_cleaned_4_27_2026/run_0/checkpoints_flowcast/FlowCastPrecond.0.20000.mdlus
[2026-06-12 11:24:00] [nfe_sweep] NFE list   = [1, 2, 3, 4, 5, 6, 8, 10, 12, 16, 20, 25, 32, 40, 50]  (15 values)
[2026-06-12 11:24:00] [nfe_sweep] solver     = euler  sigma_data = 0.5
[2026-06-12 11:24:00] [nfe_sweep] S=12 sequences x T=1 steps x K=10 members
[2026-06-12 11:24:00] [nfe_sweep] output     = /home3/davidlcs/Econ-Rag/Local_LLM/test_meeting/Stormcast-Distilation/experiment_scripts/results/flowcast_nfe_sweep
[2026-06-12 11:24:00] [nfe_sweep] loading dataset ...
[2026-06-12 11:24:07] [nfe_sweep] dataset    : usable pairs = 8759  channels = ['u10', 'v10', 't2m', 'qpepre']
[2026-06-12 11:24:07] [nfe_sweep] sequences  : 12 t0 indices (0 ... 8757)
[2026-06-12 11:24:07] [nfe_sweep] loading regression /home3/davidlcs/Econ-Rag/Local_LLM/test_meeting/Stormcast-Distilation/runs/regression_zettabyte_v1_cleaned_4_27_2026/regression_zettabyte_cleaned_4_27_2026/run_0/checkpoints_regression/StormCastUNet.0.8000.mdlus
[2026-06-12 11:24:12] [nfe_sweep] loading flowcast   /home3/davidlcs/Econ-Rag/Local_LLM/test_meeting/Stormcast-Distilation/runs/flowcast_zettabyte_v1_cleaned_4_27_2026/flowcast_zettabyte_cleaned_4_27_2026/run_0/checkpoints_flowcast/FlowCastPrecond.0.20000.mdlus

================================================================
[2026-06-12 11:24:18] NFE = 1   (1/15)
================================================================
[run] flowcast ensemble starting: K=10 x S=12 x T=1 = 120 sequence-rollouts
[run] flowcast  k=1/10 seq=1/12 (1/120)  t0=0      rollout=  1.9s  avg= 1.9s/seq  elapsed=  0.0m  eta=  3.8m
[run] flowcast  k=1/10 seq=2/12 (2/120)  t0=796    rollout=  0.4s  avg= 1.2s/seq  elapsed=  0.0m  eta=  2.3m
[run] flowcast  k=1/10 seq=3/12 (3/120)  t0=1592   rollout=  0.3s  avg= 0.9s/seq  elapsed=  0.0m  eta=  1.7m
[run] flowcast  k=1/10 seq=4/12 (4/120)  t0=2388   rollout=  0.2s  avg= 0.7s/seq  elapsed=  0.0m  eta=  1.4m
[run] flowcast  k=1/10 seq=5/12 (5/120)  t0=3184   rollout=  0.4s  avg= 0.6s/seq  elapsed=  0.1m  eta=  1.2m
[run] flowcast  k=1/10 seq=6/12 (6/120)  t0=3980   rollout=  0.3s  avg= 0.6s/seq  elapsed=  0.1m  eta=  1.1m
[run] flowcast  k=1/10 seq=7/12 (7/120)  t0=4776   rollout=  0.4s  avg= 0.6s/seq  elapsed=  0.1m  eta=  1.1m
[run] flowcast  k=1/10 seq=8/12 (8/120)  t0=5572   rollout=  0.5s  avg= 0.6s/seq  elapsed=  0.1m  eta=  1.0m
[run] flowcast  k=1/10 seq=9/12 (9/120)  t0=6368   rollout=  0.4s  avg= 0.5s/seq  elapsed=  0.1m  eta=  1.0m
[run] flowcast  k=1/10 seq=10/12 (10/120)  t0=7164   rollout=  0.4s  avg= 0.5s/seq  elapsed=  0.1m  eta=  1.0m
[run] flowcast  k=1/10 seq=11/12 (11/120)  t0=7960   rollout=  0.4s  avg= 0.5s/seq  elapsed=  0.1m  eta=  0.9m
[run] flowcast  k=1/10 seq=12/12 (12/120)  t0=8757   rollout=  0.2s  avg= 0.5s/seq  elapsed=  0.1m  eta=  0.9m
[run] flowcast  k=2/10 seq=1/12 (13/120)  t0=0      rollout=  0.2s  avg= 0.5s/seq  elapsed=  0.1m  eta=  0.8m
[run] flowcast  k=2/10 seq=2/12 (14/120)  t0=796    rollout=  0.1s  avg= 0.4s/seq  elapsed=  0.1m  eta=  0.8m
[run] flowcast  k=2/10 seq=3/12 (15/120)  t0=1592   rollout=  0.2s  avg= 0.4s/seq  elapsed=  0.1m  eta=  0.7m
[run] flowcast  k=2/10 seq=4/12 (16/120)  t0=2388   rollout=  0.2s  avg= 0.4s/seq  elapsed=  0.1m  eta=  0.7m
[run] flowcast  k=2/10 seq=5/12 (17/120)  t0=3184   rollout=  0.2s  avg= 0.4s/seq  elapsed=  0.1m  eta=  0.7m
[run] flowcast  k=2/10 seq=6/12 (18/120)  t0=3980   rollout=  0.2s  avg= 0.4s/seq  elapsed=  0.1m  eta=  0.6m
[run] flowcast  k=2/10 seq=7/12 (19/120)  t0=4776   rollout=  0.1s  avg= 0.4s/seq  elapsed=  0.1m  eta=  0.6m
[run] flowcast  k=2/10 seq=8/12 (20/120)  t0=5572   rollout=  0.1s  avg= 0.4s/seq  elapsed=  0.1m  eta=  0.6m
[run] flowcast  k=2/10 seq=9/12 (21/120)  t0=6368   rollout=  0.2s  avg= 0.3s/seq  elapsed=  0.1m  eta=  0.6m
[run] flowcast  k=2/10 seq=10/12 (22/120)  t0=7164   rollout=  0.2s  avg= 0.3s/seq  elapsed=  0.1m  eta=  0.5m
[run] flowcast  k=2/10 seq=11/12 (23/120)  t0=7960   rollout=  0.1s  avg= 0.3s/seq  elapsed=  0.1m  eta=  0.5m
[run] flowcast  k=2/10 seq=12/12 (24/120)  t0=8757   rollout=  0.2s  avg= 0.3s/seq  elapsed=  0.1m  eta=  0.5m
[run] flowcast  k=3/10 seq=1/12 (25/120)  t0=0      rollout=  0.1s  avg= 0.3s/seq  elapsed=  0.1m  eta=  0.5m
[run] flowcast  k=3/10 seq=2/12 (26/120)  t0=796    rollout=  0.2s  avg= 0.3s/seq  elapsed=  0.1m  eta=  0.5m
[run] flowcast  k=3/10 seq=3/12 (27/120)  t0=1592   rollout=  0.2s  avg= 0.3s/seq  elapsed=  0.1m  eta=  0.5m
[run] flowcast  k=3/10 seq=4/12 (28/120)  t0=2388   rollout=  0.2s  avg= 0.3s/seq  elapsed=  0.1m  eta=  0.5m
[run] flowcast  k=3/10 seq=5/12 (29/120)  t0=3184   rollout=  0.2s  avg= 0.3s/seq  elapsed=  0.1m  eta=  0.4m
[run] flowcast  k=3/10 seq=6/12 (30/120)  t0=3980   rollout=  0.1s  avg= 0.3s/seq  elapsed=  0.1m  eta=  0.4m
