method,step_h,u10,v10,t2m,qpepre
diffusion,1,1.085280,1.179597,0.587985,1.401128
diffusion,2,1.711266,1.742644,1.350824,1.961307
diffusion,3,1.704485,1.850261,1.500500,2.125685
diffusion,4,1.723558,1.991495,1.649873,2.186426
diffusion,5,1.717905,2.002327,1.774703,2.053296
diffusion,6,1.763305,2.040677,1.891614,2.390944
diffusion,7,1.754719,2.085511,2.059593,2.503176
diffusion,8,1.913052,2.314909,2.120136,2.380583
diffusion,9,1.814296,2.403465,2.209648,2.325249
diffusion,10,1.860368,2.359365,2.355719,2.343156
diffusion,11,1.823157,2.231215,2.303721,2.271379
diffusion,12,1.946172,2.248170,2.182109,2.265649
flowcast,1,1.026264,1.141031,0.823561,1.388314
flowcast,2,1.710958,1.764124,1.194425,1.809546
flowcast,3,1.769746,1.854974,1.273785,1.851638
flowcast,4,1.782759,2.006513,1.353768,2.320585
flowcast,5,1.807207,1.984538,1.471537,2.641703
flowcast,6,1.796151,2.111567,1.675393,2.782622
flowcast,7,1.900897,2.113127,1.602873,2.522476
flowcast,8,2.008614,2.312637,1.587193,2.396565
flowcast,9,2.016421,2.413032,1.860425,2.175084
flowcast,10,2.121809,2.488458,2.052592,1.829439
flowcast,11,2.139146,2.413892,2.106147,1.849243
flowcast,12,2.291964,2.579496,2.092784,1.890399
