method,step_h,u10,v10,t2m,qpepre
diffusion,1,1.031245,1.103580,0.480615,1.308631
diffusion,2,1.673002,1.739359,1.218854,1.254729
diffusion,3,1.713781,1.822774,1.296568,1.307173
diffusion,4,1.761615,2.018059,1.471432,1.490484
diffusion,5,1.838789,2.024301,1.592670,1.511546
diffusion,6,1.888322,2.133033,1.724446,1.916492
diffusion,7,1.878590,2.049007,1.964001,2.099606
diffusion,8,1.947842,2.255260,2.138154,1.992033
diffusion,9,1.869194,2.390518,2.090368,1.733473
diffusion,10,1.940092,2.385327,2.191498,1.370758
diffusion,11,1.895807,2.278194,2.100227,1.358960
diffusion,12,2.009536,2.426803,1.966430,1.600652
flowcast,1,0.996980,1.070811,0.484074,1.249618
flowcast,2,1.689472,1.577130,1.296457,1.214303
flowcast,3,1.740371,1.706517,1.482728,1.123249
flowcast,4,1.726816,1.848580,1.622371,1.328464
flowcast,5,1.722262,1.907293,1.826765,1.457348
flowcast,6,1.779189,1.970414,2.017287,1.857846
flowcast,7,1.769213,1.972268,2.258834,2.072884
flowcast,8,1.956053,2.125365,2.486001,2.005805
flowcast,9,1.870988,2.202919,2.463553,1.773800
flowcast,10,1.886009,2.129577,2.601763,1.424479
flowcast,11,1.811780,2.065516,2.667009,1.390148
flowcast,12,1.845676,2.106427,2.571185,1.653282
meanflow,1,0.983334,1.104354,0.451188,1.286483
meanflow,2,1.659227,1.686307,1.116422,1.350634
meanflow,3,1.753865,1.733098,1.098387,1.446306
meanflow,4,1.717396,1.874975,1.058397,1.459203
meanflow,5,1.709653,1.856674,1.096447,1.456550
meanflow,6,1.723791,1.916763,1.242695,1.835703
meanflow,7,1.780440,1.882848,1.359984,2.046875
meanflow,8,1.915196,1.918197,1.447375,2.003515
meanflow,9,1.898239,2.023260,1.661599,1.779605
meanflow,10,1.958067,2.032902,1.706316,1.431646
meanflow,11,1.965376,1.879547,1.643937,1.407643
meanflow,12,1.957119,2.079968,1.629986,1.657128
