method,step_h,u10,v10,t2m,qpepre
log1p_diffusion,1,1.031245,1.103580,0.480615,1.308631
log1p_diffusion,2,1.673002,1.739359,1.218854,1.254729
log1p_diffusion,3,1.713781,1.822774,1.296568,1.307173
log1p_diffusion,4,1.761615,2.018059,1.471432,1.490484
log1p_diffusion,5,1.838789,2.024301,1.592670,1.511546
log1p_diffusion,6,1.888322,2.133033,1.724446,1.916492
log1p_diffusion,7,1.878590,2.049007,1.964001,2.099606
log1p_diffusion,8,1.947842,2.255260,2.138154,1.992033
log1p_diffusion,9,1.869194,2.390518,2.090368,1.733473
log1p_diffusion,10,1.940092,2.385327,2.191498,1.370758
log1p_diffusion,11,1.895807,2.278194,2.100227,1.358960
log1p_diffusion,12,2.009536,2.426803,1.966430,1.600652
log1p_flowcast,1,0.996980,1.070811,0.484074,1.249618
log1p_flowcast,2,1.689472,1.577130,1.296457,1.214303
log1p_flowcast,3,1.740371,1.706517,1.482728,1.123249
log1p_flowcast,4,1.726816,1.848580,1.622371,1.328464
log1p_flowcast,5,1.722262,1.907293,1.826765,1.457348
log1p_flowcast,6,1.779189,1.970414,2.017287,1.857846
log1p_flowcast,7,1.769213,1.972268,2.258834,2.072884
log1p_flowcast,8,1.956053,2.125365,2.486001,2.005805
log1p_flowcast,9,1.870988,2.202919,2.463553,1.773800
log1p_flowcast,10,1.886009,2.129577,2.601763,1.424479
log1p_flowcast,11,1.811780,2.065516,2.667009,1.390148
log1p_flowcast,12,1.845676,2.106427,2.571185,1.653282
NO_log1p_diffusion,1,1.085280,1.179597,0.587985,1.401128
NO_log1p_diffusion,2,1.711266,1.742644,1.350824,1.961307
NO_log1p_diffusion,3,1.704485,1.850261,1.500500,2.125685
NO_log1p_diffusion,4,1.723558,1.991495,1.649873,2.186426
NO_log1p_diffusion,5,1.717905,2.002327,1.774703,2.053296
NO_log1p_diffusion,6,1.763305,2.040677,1.891614,2.390944
NO_log1p_diffusion,7,1.754719,2.085511,2.059593,2.503176
NO_log1p_diffusion,8,1.913052,2.314909,2.120136,2.380583
NO_log1p_diffusion,9,1.814296,2.403465,2.209648,2.325249
NO_log1p_diffusion,10,1.860368,2.359365,2.355719,2.343156
NO_log1p_diffusion,11,1.823157,2.231215,2.303721,2.271379
NO_log1p_diffusion,12,1.946172,2.248170,2.182109,2.265649
NO_log1p_flowcast,1,1.026264,1.141031,0.823561,1.388314
NO_log1p_flowcast,2,1.710958,1.764124,1.194425,1.809546
NO_log1p_flowcast,3,1.769746,1.854974,1.273785,1.851638
NO_log1p_flowcast,4,1.782759,2.006513,1.353768,2.320585
NO_log1p_flowcast,5,1.807207,1.984538,1.471537,2.641703
NO_log1p_flowcast,6,1.796151,2.111567,1.675393,2.782622
NO_log1p_flowcast,7,1.900897,2.113127,1.602873,2.522476
NO_log1p_flowcast,8,2.008614,2.312637,1.587193,2.396565
NO_log1p_flowcast,9,2.016421,2.413032,1.860425,2.175084
NO_log1p_flowcast,10,2.121809,2.488458,2.052592,1.829439
NO_log1p_flowcast,11,2.139146,2.413892,2.106147,1.849243
NO_log1p_flowcast,12,2.291964,2.579496,2.092784,1.890399
