method,kernel,0.1,1.0,5.0,10.0,16.0
diffusion,3km,0.695652,0.499013,0.178430,0.019969,0.008787
diffusion,15km,0.779420,0.597335,0.266838,0.028051,0.007648
diffusion,27km,0.808816,0.635647,0.320184,0.038305,0.006544
diffusion,45km,0.835005,0.669975,0.395018,0.052411,0.005337
flowcast,3km,0.706561,0.505663,0.157271,0.014573,0.005277
flowcast,15km,0.804634,0.628971,0.226229,0.014836,0.003794
flowcast,27km,0.835660,0.676846,0.267336,0.017714,0.003968
flowcast,45km,0.862795,0.721610,0.324209,0.023348,0.004254
meanflow_nfe1,3km,0.725671,0.520497,0.194745,0.031375,0.001764
meanflow_nfe1,15km,0.803720,0.615316,0.281467,0.041619,0.001740
meanflow_nfe1,27km,0.832463,0.655065,0.329984,0.051026,0.001408
meanflow_nfe1,45km,0.859926,0.696479,0.399583,0.065331,0.001113
meanflow_nfe2,3km,0.729383,0.515371,0.216665,0.039930,0.029514
meanflow_nfe2,15km,0.807912,0.601592,0.309380,0.055278,0.026360
meanflow_nfe2,27km,0.836076,0.634354,0.361163,0.061879,0.022793
meanflow_nfe2,45km,0.862571,0.665547,0.437724,0.074278,0.018404
