method,kernel,metric,0.1,1.0,5.0,10.0,16.0
diffusion,3km,csi,0.285860,0.145582,0.045822,0.016796,0.009983
diffusion,3km,far,0.657090,0.686181,0.417730,0.622881,0.500000
diffusion,3km,pod,0.632109,0.213564,0.047379,0.017275,0.010084
diffusion,3km,hss,0.280593,0.208719,0.086088,0.032783,0.019743
diffusion,3km,fss,0.444620,0.254162,0.087628,0.033036,0.019769
diffusion,15km,csi,0.358554,0.237948,0.068543,0.037647,0.021346
diffusion,15km,far,0.617279,0.617942,0.245994,0.320029,0.253676
diffusion,15km,pod,0.850258,0.386817,0.070111,0.038326,0.021502
diffusion,15km,hss,0.189162,0.273951,0.122644,0.071127,0.041505
diffusion,15km,fss,0.545596,0.354794,0.121978,0.042025,0.027268
diffusion,27km,csi,0.422319,0.314463,0.083560,0.048184,0.026936
diffusion,27km,far,0.560341,0.545729,0.186480,0.207872,0.174324
diffusion,27km,pod,0.914587,0.505382,0.085192,0.048802,0.027091
diffusion,27km,hss,0.131372,0.320618,0.143296,0.088872,0.051670
diffusion,27km,fss,0.577920,0.400239,0.129220,0.043334,0.025580
diffusion,45km,csi,0.545761,0.409494,0.107492,0.058721,0.034712
diffusion,45km,far,0.444030,0.462397,0.112338,0.163309,0.103000
diffusion,45km,pod,0.967449,0.632140,0.108975,0.059402,0.034851
diffusion,45km,hss,0.092928,0.351317,0.172307,0.104123,0.065003
diffusion,45km,fss,0.615906,0.455695,0.134550,0.048515,0.023003
