method,step_h,t2m,u10,v10,qpepre
diffusion,1,0.693736,1.149318,1.190717,0.871842
diffusion,2,1.036728,1.405537,1.488410,1.184218
diffusion,3,1.326528,1.650089,1.674017,1.155539
diffusion,4,1.571513,1.883660,1.748295,1.129154
diffusion,5,1.752942,2.020565,1.885029,1.196258
diffusion,6,1.873046,2.024811,2.108312,1.126938
diffusion,7,1.912229,2.050624,2.327229,1.102351
diffusion,8,1.855014,2.088017,2.428022,1.101081
diffusion,9,1.887904,2.278526,2.510643,10.751343
diffusion,10,2.235714,2.532601,2.655179,1.000712
diffusion,11,2.182960,2.493228,2.702566,0.912086
diffusion,12,2.264960,2.429743,2.695489,0.840930
