method,metric,0.1,1.0,5.0,10.0,16.0,32.0
diffusion,csi,0.416917,0.240406,0.016126,0.000108,0.000000,0.000000
diffusion,far,0.530956,0.673109,0.886985,0.992187,1.000000,nan
diffusion,hss,0.451051,0.326817,0.027937,0.000073,-0.000005,0.000000
flowcast,csi,0.445117,0.242855,0.007200,0.000000,0.000000,0.000000
flowcast,far,0.361492,0.486087,0.876404,1.000000,nan,nan
flowcast,hss,0.524483,0.353343,0.012707,-0.000017,0.000000,0.000000
meanflow_nfe1,csi,0.445573,0.207888,0.006866,0.000108,0.000000,0.000000
meanflow_nfe1,far,0.363722,0.552470,0.897319,0.990826,nan,nan
meanflow_nfe1,hss,0.524546,0.303403,0.011809,0.000095,0.000000,0.000000
meanflow_nfe2,csi,0.452788,0.205947,0.007330,0.000108,0.000000,0.000000
meanflow_nfe2,far,0.433201,0.624726,0.897231,0.992647,nan,nan
meanflow_nfe2,hss,0.517440,0.292501,0.012606,0.000064,0.000000,0.000000
