method,step_h,u10,v10,t2m,qpepre
diffusion,1,1.201240,1.304812,0.630113,1.015422
diffusion,2,1.444430,1.642536,0.913211,0.936131
diffusion,3,1.540780,1.870383,1.087844,1.975233
diffusion,4,1.589821,2.169023,1.210912,2.226302
diffusion,5,1.675906,2.428456,1.571045,1.934558
diffusion,6,1.746267,2.660817,1.815104,1.826250
diffusion,7,1.978235,2.616128,1.881613,1.756636
diffusion,8,2.016709,2.489531,1.776959,1.981467
diffusion,9,1.942399,2.410011,1.590776,2.039091
diffusion,10,1.890545,2.373627,1.565509,1.776397
diffusion,11,1.853635,2.391213,1.484481,1.629204
diffusion,12,1.810356,2.372033,1.462340,1.084134
flowcast,1,1.176111,1.355141,0.681793,0.977465
flowcast,2,1.401575,1.770059,0.957000,0.870788
flowcast,3,1.607001,2.080085,1.209229,1.952481
flowcast,4,1.732459,2.378751,1.238007,2.235604
flowcast,5,1.857607,2.666418,1.439468,1.928202
flowcast,6,1.886791,2.921216,1.586904,1.744788
flowcast,7,2.144448,3.002407,1.604266,1.625374
flowcast,8,2.196098,2.871049,1.590182,1.921031
flowcast,9,2.076815,2.831748,1.441180,2.021713
flowcast,10,2.161065,2.725976,1.391469,1.748015
flowcast,11,2.250073,2.460537,1.387271,1.596475
flowcast,12,2.145190,2.401172,1.349914,1.012672
meanflow_nfe1,1,1.114189,1.260518,0.647089,0.976799
meanflow_nfe1,2,1.389914,1.602020,0.884952,0.859144
meanflow_nfe1,3,1.451819,1.862425,1.043533,1.961307
meanflow_nfe1,4,1.508148,2.069007,1.072980,2.257167
meanflow_nfe1,5,1.658819,2.326989,1.273402,1.975700
meanflow_nfe1,6,1.703442,2.487043,1.526063,1.835158
meanflow_nfe1,7,1.912955,2.494033,1.381517,1.760068
meanflow_nfe1,8,2.045256,2.472411,1.232924,2.022718
meanflow_nfe1,9,1.985085,2.416052,1.183075,2.080904
meanflow_nfe1,10,1.945805,2.356817,1.172787,1.777483
meanflow_nfe1,11,2.004146,2.350442,1.189220,1.645320
meanflow_nfe1,12,1.941265,2.285952,1.225564,1.057563
meanflow_nfe2,1,1.096922,1.259064,0.602220,0.983888
meanflow_nfe2,2,1.381127,1.607755,0.838885,0.877244
meanflow_nfe2,3,1.456657,1.868488,1.043025,1.950665
meanflow_nfe2,4,1.491020,2.037974,1.030638,2.247132
meanflow_nfe2,5,1.607626,2.234543,1.169974,1.964808
meanflow_nfe2,6,1.631053,2.343953,1.328152,1.822496
meanflow_nfe2,7,1.785740,2.339285,1.246522,1.758958
meanflow_nfe2,8,1.892113,2.281322,1.149010,2.035764
meanflow_nfe2,9,1.827413,2.254737,1.211028,2.090394
meanflow_nfe2,10,1.876621,2.188247,1.177966,1.784779
meanflow_nfe2,11,1.939473,2.094810,1.135448,1.651342
meanflow_nfe2,12,1.800626,1.957200,1.058440,1.079662
