method,step_h,u10,v10,t2m,qpepre
meanflow_nfe1,1,1.001922,1.084861,0.446635,1.072519
meanflow_nfe1,2,1.277712,1.337911,0.588083,1.243661
meanflow_nfe1,3,1.355005,1.557812,0.710869,1.216355
meanflow_nfe1,4,1.383877,1.598070,0.742676,1.322111
meanflow_nfe1,5,1.486582,1.654944,0.876435,1.261651
meanflow_nfe1,6,1.614030,1.886905,1.568989,1.197944
meanflow_nfe2,1,1.000426,1.056762,0.429864,1.059278
meanflow_nfe2,2,1.223467,1.308823,0.552123,1.248940
meanflow_nfe2,3,1.277386,1.539254,0.684212,1.211179
meanflow_nfe2,4,1.285573,1.579254,0.739599,1.304232
meanflow_nfe2,5,1.391349,1.566755,0.846373,1.251498
meanflow_nfe2,6,1.530257,1.780617,1.573750,1.211372
