method,step_h,u10,v10,t2m,qpepre
meanflow_lspec_nfe1,1,0.957838,1.089238,0.443335,1.061203
meanflow_lspec_nfe1,2,1.255770,1.406238,0.592736,1.264001
meanflow_lspec_nfe1,3,1.386023,1.708514,0.746501,1.241470
meanflow_lspec_nfe1,4,1.456410,1.814513,0.857172,1.338497
meanflow_lspec_nfe1,5,1.604913,1.983784,0.944009,1.293718
meanflow_lspec_nfe1,6,1.774098,2.328569,1.615712,1.237030
meanflow_lspec_nfe2,1,0.957651,1.034332,0.425804,1.047217
meanflow_lspec_nfe2,2,1.222900,1.289581,0.576099,1.277354
meanflow_lspec_nfe2,3,1.295403,1.557819,0.756461,1.267673
meanflow_lspec_nfe2,4,1.324503,1.610074,0.878073,1.365992
meanflow_lspec_nfe2,5,1.475869,1.713113,1.006465,1.333401
meanflow_lspec_nfe2,6,1.650226,2.014130,1.772664,1.274924
meanflow_no_lspec_nfe1,1,1.001922,1.084861,0.446635,1.072519
meanflow_no_lspec_nfe1,2,1.277712,1.337911,0.588083,1.243661
meanflow_no_lspec_nfe1,3,1.355005,1.557812,0.710869,1.216355
meanflow_no_lspec_nfe1,4,1.383877,1.598070,0.742676,1.322111
meanflow_no_lspec_nfe1,5,1.486582,1.654944,0.876435,1.261651
meanflow_no_lspec_nfe1,6,1.614030,1.886905,1.568989,1.197944
meanflow_no_lspec_nfe2,1,1.000426,1.056762,0.429864,1.059278
meanflow_no_lspec_nfe2,2,1.223467,1.308823,0.552123,1.248940
meanflow_no_lspec_nfe2,3,1.277386,1.539254,0.684212,1.211179
meanflow_no_lspec_nfe2,4,1.285573,1.579254,0.739599,1.304232
meanflow_no_lspec_nfe2,5,1.391349,1.566755,0.846373,1.251498
meanflow_no_lspec_nfe2,6,1.530257,1.780617,1.573750,1.211372
