method,step_h,u10,v10,t2m,qpepre
meanflow_nfe1,1,0.957838,1.089238,0.443335,1.061203
meanflow_nfe1,2,1.255770,1.406238,0.592736,1.264001
meanflow_nfe1,3,1.386023,1.708514,0.746501,1.241470
meanflow_nfe1,4,1.456410,1.814513,0.857172,1.338497
meanflow_nfe1,5,1.604913,1.983784,0.944009,1.293718
meanflow_nfe1,6,1.774098,2.328569,1.615712,1.237030
meanflow_nfe2,1,0.957651,1.034332,0.425804,1.047217
meanflow_nfe2,2,1.222900,1.289581,0.576099,1.277354
meanflow_nfe2,3,1.295403,1.557819,0.756461,1.267673
meanflow_nfe2,4,1.324503,1.610074,0.878073,1.365992
meanflow_nfe2,5,1.475869,1.713113,1.006465,1.333401
meanflow_nfe2,6,1.650226,2.014130,1.772664,1.274924
