nfe,time_per_seq_s,rmse_u10,rmse_v10,rmse_t2m,rmse_qpepre,crps_u10,crps_v10,crps_t2m,crps_qpepre,csi_m,csi_p16,fss_p16_m,hss_m,far_m
1,0.236466,0.837909,0.862635,0.406440,0.552232,0.483617,0.503645,0.219546,0.135904,0.272017,0.079365,0.126527,0.359473,0.165677
2,0.187497,0.815009,0.819119,0.376982,0.550452,0.454635,0.464378,0.202098,0.127777,0.277718,0.095238,0.156768,0.367590,0.192357
3,0.229927,0.826194,0.845550,0.383874,0.553149,0.424289,0.445852,0.191333,0.125113,0.266179,0.047619,0.078177,0.350118,0.182614
4,0.264109,0.880682,1.017382,0.451479,0.554916,0.431454,0.519942,0.224482,0.123889,0.254112,0.000000,0.000000,0.330113,0.251007
5,0.311650,0.825741,0.856013,0.390990,0.549733,0.423600,0.447022,0.194351,0.123080,0.283393,0.126984,0.205062,0.377728,0.207828
6,0.342504,0.835483,0.840463,0.400159,0.550744,0.416366,0.426856,0.198749,0.120089,0.280239,0.111111,0.184732,0.373227,0.248085
8,0.422946,0.828147,0.842539,0.387607,0.550741,0.411516,0.428108,0.192160,0.120342,0.275865,0.095238,0.154973,0.366642,0.231545
10,0.507454,0.828152,0.843412,0.389978,0.550601,0.412075,0.426795,0.191818,0.119465,0.292891,0.174603,0.280573,0.392991,0.248805
12,0.596177,0.833361,0.828512,0.389103,0.552250,0.413180,0.421818,0.189840,0.118650,0.308608,0.246154,0.413129,0.415158,0.284648
16,0.740300,0.830095,0.831004,0.386295,0.552200,0.409845,0.418344,0.188369,0.118373,0.295294,0.206349,0.321832,0.396623,0.264000
20,0.896873,0.831299,0.827148,0.388444,0.552062,0.409156,0.416353,0.188947,0.119000,0.287872,0.174603,0.280573,0.386191,0.246083
25,1.086722,0.832648,0.824381,0.389124,0.551242,0.410251,0.415342,0.188535,0.118254,0.295875,0.206349,0.321832,0.397748,0.258442
32,1.362732,0.833508,0.823136,0.392344,0.551463,0.412746,0.415492,0.190811,0.117881,0.306554,0.242424,0.423078,0.412475,0.292575
40,1.689886,0.835567,0.828910,0.393337,0.553795,0.410543,0.415301,0.190978,0.117561,0.302071,0.234375,0.376692,0.406644,0.282707
50,2.095007,0.835914,0.823737,0.391426,0.552408,0.413968,0.416277,0.189887,0.117820,0.316092,0.287879,0.473824,0.424773,0.289369
