method,threshold_mmph,kernel_px,kernel_km,csi,pod,far
diffusion,0.1,1,2,0.244808,0.555494,0.695553
diffusion,0.1,2,4,0.261619,0.647253,0.694876
diffusion,0.1,4,8,0.288830,0.744598,0.679409
diffusion,0.1,8,16,0.337731,0.859888,0.642601
diffusion,0.1,16,32,0.433941,0.953405,0.556657
diffusion,1.0,1,2,0.101699,0.147995,0.754657
diffusion,1.0,2,4,0.120136,0.185270,0.745313
diffusion,1.0,4,8,0.147912,0.242052,0.724476
diffusion,1.0,8,16,0.194768,0.331246,0.679014
diffusion,1.0,16,32,0.283507,0.480045,0.590854
diffusion,5.0,1,2,0.009084,0.009330,0.744146
diffusion,5.0,2,4,0.010330,0.010615,0.721631
diffusion,5.0,4,8,0.012718,0.013074,0.681619
diffusion,5.0,8,16,0.017891,0.018393,0.603764
diffusion,5.0,16,32,0.026845,0.027614,0.509226
diffusion,10.0,1,2,0.005044,0.005126,0.759036
diffusion,10.0,2,4,0.006239,0.006340,0.718412
diffusion,10.0,4,8,0.007575,0.007703,0.686833
diffusion,10.0,8,16,0.009865,0.010039,0.636567
diffusion,10.0,16,32,0.015324,0.015589,0.526287
diffusion,16.0,1,2,0.002755,0.002801,0.857143
diffusion,16.0,2,4,0.003847,0.003897,0.767857
diffusion,16.0,4,8,0.005475,0.005526,0.627273
diffusion,16.0,8,16,0.007992,0.008040,0.428571
diffusion,16.0,16,32,0.011528,0.011565,0.216883
