k,truth,diffusion
1.031715,1.19358044e+03,2.74780884e+02
3.095146,2.88078308e+02,2.34794521e+01
5.158576,2.01222137e+02,7.32094860e+00
7.222007,1.89575989e+02,3.53813648e+00
9.285438,1.77203049e+02,2.09538031e+00
11.348867,1.72524384e+02,1.39051092e+00
13.412298,1.70019150e+02,9.02470887e-01
15.475729,1.60480499e+02,6.38943732e-01
17.539160,1.56395050e+02,5.41454494e-01
19.602591,1.48397263e+02,3.32353234e-01
21.666021,1.41919815e+02,2.19031125e-01
23.729450,1.34831680e+02,1.76493689e-01
25.792881,1.26828461e+02,1.44311324e-01
27.856312,1.20575058e+02,1.21654272e-01
29.919743,1.13093880e+02,9.15109590e-02
31.983173,1.06520668e+02,6.75690472e-02
34.046604,9.97418900e+01,5.64326756e-02
36.110035,9.28202667e+01,4.87345867e-02
38.173466,8.67751312e+01,3.51743437e-02
40.236897,8.03285599e+01,2.89516710e-02
42.300327,7.41548920e+01,2.56533083e-02
44.363758,6.81524582e+01,2.06756350e-02
46.427189,6.22708778e+01,1.67751946e-02
48.490616,5.66600342e+01,1.51481610e-02
50.554047,5.12943153e+01,1.33296186e-02
52.617477,4.63623123e+01,1.28360186e-02
54.680908,4.16839523e+01,1.12466514e-02
56.744339,3.73701553e+01,9.72567126e-03
58.807770,3.34497299e+01,9.02421121e-03
60.871201,2.99656620e+01,8.68240651e-03
62.934631,2.69283943e+01,8.29971582e-03
64.998062,2.44861469e+01,7.78345577e-03
67.061493,2.19447536e+01,7.25568086e-03
69.124924,1.94954147e+01,6.98976079e-03
71.188354,1.71564636e+01,6.71346067e-03
73.251785,1.50435638e+01,6.62351586e-03
75.315216,1.31575050e+01,6.37358939e-03
77.378647,1.12904692e+01,6.06858218e-03
79.442078,9.68948555e+00,5.97196631e-03
81.505508,8.25285435e+00,5.80033939e-03
83.568939,6.95691729e+00,5.60377259e-03
85.632370,5.80823040e+00,5.56963496e-03
87.695801,4.82178736e+00,5.60365291e-03
89.759232,3.94853306e+00,5.51996985e-03
91.822662,3.19973850e+00,5.46666887e-03
93.886093,2.55256438e+00,5.23618422e-03
95.949524,2.03148675e+00,5.34174126e-03
98.012947,1.57454681e+00,5.30757802e-03
100.076378,1.20264184e+00,5.33696404e-03
102.139809,9.06961501e-01,5.11859218e-03
104.203239,6.78076804e-01,5.16584283e-03
106.266670,4.91474479e-01,5.10364771e-03
108.330101,3.61688644e-01,5.10812365e-03
110.393532,2.59209245e-01,5.14544500e-03
112.456963,2.00218707e-01,5.01606427e-03
114.520393,1.49601638e-01,4.85302974e-03
116.583824,1.13544129e-01,4.72644623e-03
118.647255,8.29836279e-02,4.80746059e-03
120.710686,5.94048686e-02,4.82486142e-03
122.774117,4.41954844e-02,4.86285426e-03
124.837547,3.35259438e-02,4.72066784e-03
126.900978,2.78969053e-02,5.10679930e-03
128.964417,2.52761506e-02,4.78939060e-03
