k,truth,diffusion
1.031715,1.92238304e+08,1.91179056e+08
3.095146,2.30104175e+03,2.16024072e+03
5.158576,2.17302094e+02,2.12449677e+02
7.222007,7.98733826e+01,8.02035675e+01
9.285438,3.26407852e+01,3.63475151e+01
11.348867,2.18900414e+01,2.15992508e+01
13.412298,1.82986736e+01,1.82116833e+01
15.475729,1.40793982e+01,1.39258022e+01
17.539160,9.04629707e+00,9.27840042e+00
19.602591,6.69753504e+00,6.46436882e+00
21.666021,4.82970095e+00,4.62313414e+00
23.729450,3.32212853e+00,3.08014464e+00
25.792881,2.83088064e+00,2.57341886e+00
27.856312,2.78782225e+00,2.66675186e+00
29.919743,2.16605639e+00,2.04580402e+00
31.983173,1.47229898e+00,1.35048544e+00
34.046604,1.02540326e+00,9.89042342e-01
36.110035,1.14150655e+00,1.11024868e+00
38.173466,7.54702449e-01,7.16896415e-01
40.236897,5.23264050e-01,5.04562497e-01
42.300327,5.39879918e-01,5.36004245e-01
44.363758,4.10531908e-01,3.93200457e-01
46.427189,3.16309571e-01,3.08792949e-01
48.490616,2.71708876e-01,2.56951511e-01
50.554047,2.50713795e-01,2.39030883e-01
52.617477,2.32428566e-01,2.29705304e-01
54.680908,1.78952053e-01,1.76230624e-01
56.744339,1.45299658e-01,1.38894141e-01
58.807770,1.18086308e-01,1.14812165e-01
60.871201,1.18882678e-01,1.17750235e-01
62.934631,9.59950387e-02,9.33321640e-02
64.998062,1.04454882e-01,9.65278596e-02
67.061493,7.42229298e-02,6.86510429e-02
69.124924,7.19680563e-02,6.57075346e-02
71.188354,5.62495254e-02,5.16211800e-02
73.251785,6.17785268e-02,5.48933521e-02
75.315216,5.29953130e-02,4.72615026e-02
77.378647,5.03083579e-02,4.55762930e-02
79.442078,4.68843691e-02,4.18298505e-02
81.505508,4.70173806e-02,4.08130810e-02
83.568939,4.34580371e-02,3.80297154e-02
85.632370,4.28118631e-02,3.80472876e-02
87.695801,4.10090275e-02,3.67508568e-02
89.759232,3.86769138e-02,3.37273553e-02
91.822662,3.99820544e-02,3.52406092e-02
93.886093,3.69236842e-02,3.28541882e-02
95.949524,3.84004228e-02,3.46521027e-02
98.012947,4.81844768e-02,4.37843800e-02
100.076378,3.75057906e-02,3.36683951e-02
102.139809,3.46418247e-02,3.18274423e-02
104.203239,3.51509862e-02,3.27176116e-02
106.266670,3.53911370e-02,3.29988152e-02
108.330101,3.50773931e-02,3.21184359e-02
110.393532,3.39203291e-02,3.18563506e-02
112.456963,1.33590037e-02,1.29113542e-02
114.520393,2.74266163e-03,3.45439301e-03
116.583824,2.07092008e-03,2.97082262e-03
118.647255,1.46960292e-03,2.72522052e-03
120.710686,1.09050272e-03,2.47029541e-03
122.774117,1.04061060e-03,2.56922585e-03
124.837547,8.41265894e-04,2.31224694e-03
126.900978,8.94999539e-04,2.43622297e-03
128.964417,4.27767984e-04,2.48300750e-03
