k,truth,diffusion
1.031715,4.10771836e+04,5.12872656e+04
3.095146,1.05576843e+03,1.16073096e+03
5.158576,2.40403809e+02,2.28766861e+02
7.222007,8.36703568e+01,7.57328339e+01
9.285438,4.19424515e+01,3.97417679e+01
11.348867,2.37971134e+01,2.11481800e+01
13.412298,1.44283142e+01,1.24393101e+01
15.475729,9.36498547e+00,7.96776772e+00
17.539160,6.64335346e+00,5.68308973e+00
19.602591,4.76403809e+00,4.20400286e+00
21.666021,3.43675852e+00,3.05972552e+00
23.729450,2.60951090e+00,2.23797822e+00
25.792881,2.09413695e+00,1.77404475e+00
27.856312,1.49873042e+00,1.25313163e+00
29.919743,1.21443748e+00,9.59023833e-01
31.983173,1.02904046e+00,8.24312747e-01
34.046604,7.69742370e-01,6.02039516e-01
36.110035,6.03377581e-01,4.56650466e-01
38.173466,4.79827434e-01,3.79200399e-01
40.236897,3.89376372e-01,3.00233245e-01
42.300327,3.33908141e-01,2.64533520e-01
44.363758,2.69298851e-01,2.20596850e-01
46.427189,2.26031408e-01,1.81280866e-01
48.490616,1.96744874e-01,1.60567507e-01
50.554047,1.74022689e-01,1.42850012e-01
52.617477,1.45480558e-01,1.22046322e-01
54.680908,1.28122076e-01,1.03771113e-01
56.744339,1.09631330e-01,9.30410177e-02
58.807770,1.02411143e-01,8.73976797e-02
60.871201,9.22514349e-02,7.77671561e-02
62.934631,8.49439651e-02,7.32257515e-02
64.998062,6.73793480e-02,6.25396892e-02
67.061493,4.40784432e-02,3.68496403e-02
69.124924,4.28729057e-02,3.78327928e-02
71.188354,3.88646014e-02,3.49235125e-02
73.251785,3.99434641e-02,3.64822373e-02
75.315216,3.75366323e-02,3.48530300e-02
77.378647,3.36586572e-02,3.24453712e-02
79.442078,3.41457687e-02,3.22685428e-02
81.505508,3.29230651e-02,3.16030458e-02
83.568939,3.09917536e-02,3.06085031e-02
85.632370,3.08762286e-02,3.02622356e-02
87.695801,2.99294461e-02,2.92579047e-02
89.759232,2.87536494e-02,2.92396918e-02
91.822662,2.80512180e-02,2.80213077e-02
93.886093,2.77591404e-02,2.77608857e-02
95.949524,2.76545025e-02,2.82903612e-02
98.012947,3.56028154e-02,3.73912416e-02
100.076378,2.62815151e-02,2.69856248e-02
102.139809,2.56143622e-02,2.61506438e-02
104.203239,2.55582370e-02,2.61703376e-02
106.266670,2.57597584e-02,2.67030876e-02
108.330101,2.44741961e-02,2.57276222e-02
110.393532,2.50634030e-02,2.56172549e-02
112.456963,8.97963066e-03,8.86082835e-03
114.520393,8.26229341e-04,1.28186948e-03
116.583824,4.46746912e-04,1.13013189e-03
118.647255,2.45794479e-04,1.05700258e-03
120.710686,1.73782435e-04,1.03087164e-03
122.774117,1.39739583e-04,9.98247298e-04
124.837547,1.17999924e-04,1.01989030e-03
126.900978,1.03189333e-04,1.03198877e-03
128.964417,9.62030317e-05,9.43166786e-04
