k,truth,diffusion
1.031715,9.94649844e+04,9.37645312e+04
3.095146,1.48416296e+03,1.43978735e+03
5.158576,2.87021210e+02,2.55884079e+02
7.222007,1.07494781e+02,8.67823715e+01
9.285438,4.79475479e+01,4.32005844e+01
11.348867,2.70766087e+01,2.23951855e+01
13.412298,1.60311241e+01,1.39951458e+01
15.475729,1.11555462e+01,1.01541252e+01
17.539160,7.91414547e+00,6.52495670e+00
19.602591,5.58625984e+00,5.04749203e+00
21.666021,4.09437227e+00,3.80395174e+00
23.729450,3.18409467e+00,2.93246698e+00
25.792881,2.58161545e+00,2.42988729e+00
27.856312,1.95379639e+00,1.88553882e+00
29.919743,1.67194879e+00,1.60648346e+00
31.983173,1.46655226e+00,1.47735035e+00
34.046604,1.14179063e+00,1.05698264e+00
36.110035,9.42498922e-01,9.12730575e-01
38.173466,7.88967729e-01,7.62905061e-01
40.236897,6.23978317e-01,5.65177321e-01
42.300327,5.53595662e-01,5.21344125e-01
44.363758,4.62487161e-01,4.57645506e-01
46.427189,3.81241053e-01,3.55766743e-01
48.490616,3.42105746e-01,3.18213791e-01
50.554047,3.03915918e-01,2.85105079e-01
52.617477,2.58601457e-01,2.46033505e-01
54.680908,2.36990497e-01,2.10868999e-01
56.744339,1.91511884e-01,1.77344173e-01
58.807770,1.83774531e-01,1.66888371e-01
60.871201,1.53116941e-01,1.43534556e-01
62.934631,1.52027056e-01,1.38819560e-01
64.998062,1.15898460e-01,9.78794619e-02
67.061493,7.39168003e-02,5.84901311e-02
69.124924,7.07861483e-02,5.82751706e-02
71.188354,6.06632009e-02,5.15191071e-02
73.251785,6.23605624e-02,5.13147004e-02
75.315216,5.35906926e-02,4.76961769e-02
77.378647,4.89952080e-02,4.56775911e-02
79.442078,4.77948338e-02,4.42943238e-02
81.505508,4.56610210e-02,4.23543341e-02
83.568939,4.11792248e-02,3.99775319e-02
85.632370,4.16202582e-02,4.01220173e-02
87.695801,3.91921625e-02,3.75121422e-02
89.759232,3.81319560e-02,3.71641256e-02
91.822662,3.68412919e-02,3.56679708e-02
93.886093,3.61246541e-02,3.59802954e-02
95.949524,3.56504992e-02,3.47576253e-02
98.012947,4.74883951e-02,4.60056067e-02
100.076378,3.50727066e-02,3.39217149e-02
102.139809,3.31698991e-02,3.21985222e-02
104.203239,3.26923989e-02,3.20027806e-02
106.266670,3.37542333e-02,3.28440294e-02
108.330101,3.26731913e-02,3.24237533e-02
110.393532,3.24079879e-02,3.18736658e-02
112.456963,1.02545191e-02,1.08189220e-02
114.520393,4.70363244e-04,2.17195880e-03
116.583824,3.65518994e-04,2.06054631e-03
118.647255,3.08297138e-04,2.09929841e-03
120.710686,2.63632886e-04,2.10969243e-03
122.774117,2.37022497e-04,2.09707487e-03
124.837547,1.93102082e-04,2.12152814e-03
126.900978,1.58700495e-04,2.05129851e-03
128.964417,1.55362563e-04,2.17459444e-03
