method,step_h,t2m,u10,v10,qpepre
diffusion,1,0.720382,1.196558,1.215404,0.894009
diffusion,2,1.071999,1.445847,1.532889,1.200700
diffusion,3,1.355870,1.688502,1.714051,1.162709
diffusion,4,1.600549,1.927554,1.796747,1.140344
diffusion,5,1.767500,2.061982,1.944926,1.203439
diffusion,6,1.880151,2.071238,2.181038,1.130089
diffusion,7,1.915943,2.106453,2.390695,1.105935
diffusion,8,1.866576,2.160950,2.488796,1.101486
diffusion,9,1.887417,2.345387,2.554050,10.751667
diffusion,10,2.214772,2.583339,2.684995,1.004922
diffusion,11,2.157166,2.558258,2.724912,0.916418
diffusion,12,2.244405,2.485759,2.729731,0.847830
