method,metric,t2m,u10,v10,qpepre
teacher_N18,rmse_vs_truth,1.649223,1.289204,1.299343,0.773215
teacher_N18,mae_vs_truth,0.974593,0.974306,0.979066,0.396842
teacher_N18,bias_vs_truth,0.786429,-0.305464,-0.114200,-0.059931
teacher_N18,r2_vs_truth,0.904027,0.914838,0.953290,-0.032941
teacher_N18,acc_vs_truth,0.933391,0.958454,0.975862,0.394242
teacher_N18,grad_mag_rmse,0.230293,0.322102,0.348018,0.400433
teacher_N18,logpsd_l1_vs_truth,0.233592,0.177822,0.234898,0.631997
teacher_N18,effective_resolution_pixels,nan,nan,nan,0.323087
progressive_N2,rmse_vs_truth,1.509810,1.109682,1.078926,0.861804
progressive_N2,mae_vs_truth,0.882933,0.831261,0.807619,0.566608
progressive_N2,bias_vs_truth,0.733019,-0.295583,-0.102353,0.005294
progressive_N2,r2_vs_truth,0.919392,0.936560,0.967362,-0.096552
progressive_N2,acc_vs_truth,0.943317,0.968219,0.982814,0.428698
progressive_N2,grad_mag_rmse,0.195887,0.294976,0.309588,0.568662
progressive_N2,logpsd_l1_vs_truth,0.302886,0.307695,0.298019,1.247499
progressive_N2,effective_resolution_pixels,nan,nan,nan,0.138466
consistency_N1,rmse_vs_truth,1.421960,1.225518,1.241112,0.710704
consistency_N1,mae_vs_truth,0.847392,0.924324,0.942558,0.372835
consistency_N1,bias_vs_truth,0.619785,-0.280133,-0.088312,-0.137027
consistency_N1,r2_vs_truth,0.928475,0.922985,0.957398,0.080395
consistency_N1,acc_vs_truth,0.949348,0.962036,0.977532,0.434675
consistency_N1,grad_mag_rmse,0.239356,0.310966,0.338958,0.376356
consistency_N1,logpsd_l1_vs_truth,0.235661,0.205186,0.190291,0.579685
consistency_N1,effective_resolution_pixels,nan,nan,nan,0.323087
flowcast_N10,rmse_vs_truth,2.029939,1.251390,2.237081,0.712645
flowcast_N10,mae_vs_truth,1.389838,0.924100,1.455047,0.349871
flowcast_N10,bias_vs_truth,0.503194,0.067788,-0.748920,-0.214675
flowcast_N10,r2_vs_truth,0.854764,0.919566,0.863868,0.084887
flowcast_N10,acc_vs_truth,0.893899,0.958957,0.929169,0.403399
flowcast_N10,grad_mag_rmse,0.490679,0.322609,0.420169,0.378097
flowcast_N10,logpsd_l1_vs_truth,0.173881,0.162836,0.072406,0.197318
flowcast_N10,effective_resolution_pixels,0.323087,0.008732,nan,0.323087
progressive_N2,rmse_vs_teacher,0.428267,0.499145,0.611138,0.702295
consistency_N1,rmse_vs_teacher,0.325449,0.257281,0.353121,0.324413
flowcast_N10,rmse_vs_teacher,1.521408,1.014158,2.005068,0.508207
