method,threshold_mm_h,window_px,fss
teacher_N18,1.0,3,0.270087
teacher_N18,1.0,7,0.332640
teacher_N18,1.0,15,0.412405
teacher_N18,1.0,31,0.503974
teacher_N18,5.0,3,0.503328
teacher_N18,5.0,7,0.625496
teacher_N18,5.0,15,0.750144
teacher_N18,5.0,31,0.842901
teacher_N18,10.0,3,0.272369
teacher_N18,10.0,7,0.332963
teacher_N18,10.0,15,0.422640
teacher_N18,10.0,31,0.532008
progressive_N2,1.0,3,0.379033
progressive_N2,1.0,7,0.433406
progressive_N2,1.0,15,0.464030
progressive_N2,1.0,31,0.492331
progressive_N2,5.0,3,0.614892
progressive_N2,5.0,7,0.706916
progressive_N2,5.0,15,0.795795
progressive_N2,5.0,31,0.865890
progressive_N2,10.0,3,0.309905
progressive_N2,10.0,7,0.370847
progressive_N2,10.0,15,0.447946
progressive_N2,10.0,31,0.539261
consistency_N1,1.0,3,0.402579
consistency_N1,1.0,7,0.500338
consistency_N1,1.0,15,0.611025
consistency_N1,1.0,31,0.714973
consistency_N1,5.0,3,0.535277
consistency_N1,5.0,7,0.646835
consistency_N1,5.0,15,0.760362
consistency_N1,5.0,31,0.846879
consistency_N1,10.0,3,0.278523
consistency_N1,10.0,7,0.334692
consistency_N1,10.0,15,0.415505
consistency_N1,10.0,31,0.528348
flowcast_N10,1.0,3,0.467349
flowcast_N10,1.0,7,0.555996
flowcast_N10,1.0,15,0.648635
flowcast_N10,1.0,31,0.742834
flowcast_N10,5.0,3,0.436860
flowcast_N10,5.0,7,0.538266
flowcast_N10,5.0,15,0.654641
flowcast_N10,5.0,31,0.755484
flowcast_N10,10.0,3,0.208323
flowcast_N10,10.0,7,0.255733
flowcast_N10,10.0,15,0.303785
flowcast_N10,10.0,31,0.363733
