method,nfe,checkpoint,ms_mean,rmse_mean,logpsd_l1_mean,csi_qpepre_10mm,rmse_t2m,rmse_u10,rmse_v10,rmse_qpepre,logpsd_t2m,logpsd_u10,logpsd_v10,logpsd_qpepre
teacher,2,/home/desmond/Documents/master_thesis/Stormcast-Distilation/exp_3_train_2_5_yrs_val_1yr_tp1/exp_3_dif_L_24_H_4_train_2_5_years/0/checkpoints_diffusion/EDMPrecond.0.70000.mdlus,173.630029296875,541.6145780008685,6.19550085067749,0.00217548190061813,363.5889923556263,232.21725006682527,331.63558887408834,1239.0164807069343,5.751127243041992,5.647692680358887,5.761258125305176,7.621925354003906
teacher,4,/home/desmond/Documents/master_thesis/Stormcast-Distilation/exp_3_train_2_5_yrs_val_1yr_tp1/exp_3_dif_L_24_H_4_train_2_5_years/0/checkpoints_diffusion/EDMPrecond.0.70000.mdlus,354.27228393554685,3.346863915989482,1.976216435432434,0.024323585679147303,2.8134181436807855,2.547801391855264,3.115606947595194,4.9106291808266835,1.606113076210022,1.6658419370651245,1.715006947517395,2.9179039001464844
teacher,8,/home/desmond/Documents/master_thesis/Stormcast-Distilation/exp_3_train_2_5_yrs_val_1yr_tp1/exp_3_dif_L_24_H_4_train_2_5_years/0/checkpoints_diffusion/EDMPrecond.0.70000.mdlus,719.1431732177734,1.329526847582682,0.5026077628135681,0.1164658634538152,1.693014765418802,1.3755286305853787,1.4215301037584462,0.8280338905681015,0.36673590540885925,0.34740662574768066,0.3998212218284607,0.8964671492576599
teacher,18,/home/desmond/Documents/master_thesis/Stormcast-Distilation/exp_3_train_2_5_yrs_val_1yr_tp1/exp_3_dif_L_24_H_4_train_2_5_years/0/checkpoints_diffusion/EDMPrecond.0.70000.mdlus,1626.3018981933594,1.2527462352740906,0.3195774555206299,0.12025685931114996,1.6492234162420156,1.2892035616894582,1.299343230685534,0.7732147324793543,0.23359240591526031,0.17782233655452728,0.2348984330892563,0.6319965720176697
progressive,9,/home/desmond/Documents/master_thesis/Stormcast-Distilation/zettabyte_results/progressive/progressive_ncdr/run_0/phase_0/checkpoints/EDMPrecond.0.50000.mdlus,450.4349731445312,1.1960868500121893,0.2971816658973694,0.11652794292508911,1.6164640318112684,1.2141693237443962,1.2167669977563844,0.7369470467367077,0.20197178423404694,0.1976662427186966,0.20386385917663574,0.5852248072624207
progressive,4,/home/desmond/Documents/master_thesis/Stormcast-Distilation/zettabyte_results/progressive/progressive_ncdr/run_0/phase_1/checkpoints/EDMPrecond.0.50000.mdlus,224.14203796386718,1.202090464385292,0.7828643321990967,0.12692544670363518,1.5516171552358033,1.1507913420397702,1.1894752902030061,0.9164780700625881,0.5864236354827881,0.5517923831939697,0.5890170335769653,1.4042242765426636
progressive,2,/home/desmond/Documents/master_thesis/Stormcast-Distilation/zettabyte_results/progressive/progressive_ncdr/run_0/phase_2/checkpoints/EDMPrecond.0.32500.mdlus,134.28530349731446,1.1400553279648549,0.5390247702598572,0.14119804400977987,1.509810146171029,1.1096815827621165,1.0789258696761803,0.861803713250094,0.30288583040237427,0.307695209980011,0.2980192303657532,1.247498869895935
consistency,1,/home/desmond/Documents/master_thesis/Stormcast-Distilation/zettabyte_results/consistency/consistency/consistency_ncdr/run_0/checkpoints_consistency/ConsistencyPrecond.0.37500.mdlus,88.97201766967774,1.149823546409607,0.3027055263519287,0.12470167064439135,1.4219601154327393,1.225517988204956,1.241112470626831,0.7107037305831909,0.23566104471683502,0.2051856517791748,0.1902906745672226,0.5796847939491272
consistency,2,/home/desmond/Documents/master_thesis/Stormcast-Distilation/zettabyte_results/consistency/consistency/consistency_ncdr/run_0/checkpoints_consistency/ConsistencyPrecond.0.37500.mdlus,133.07897415161133,1.150407075881958,0.3550921082496643,0.12912400455062564,1.409717082977295,1.2173036336898804,1.222399353981018,0.7522080540657043,0.24723058938980103,0.20145413279533386,0.23972706496715546,0.7319567203521729
consistency,4,/home/desmond/Documents/master_thesis/Stormcast-Distilation/zettabyte_results/consistency/consistency/consistency_ncdr/run_0/checkpoints_consistency/ConsistencyPrecond.0.37500.mdlus,222.20358505249024,1.1372568607330322,0.3595618009567261,0.13160987074030545,1.3864229917526245,1.2213541269302368,1.2172164916992188,0.7240337133407593,0.2543192207813263,0.21608112752437592,0.24531668424606323,0.7225301861763
consistency,8,/home/desmond/Documents/master_thesis/Stormcast-Distilation/zettabyte_results/consistency/consistency/consistency_ncdr/run_0/checkpoints_consistency/ConsistencyPrecond.0.37500.mdlus,403.1164886474609,1.122538685798645,0.31796836853027344,0.12331969608416124,1.3402087688446045,1.2251970767974854,1.2168443202972412,0.7079044580459595,0.21761642396450043,0.1907339096069336,0.2067532241344452,0.656769871711731
flowcast,1,/home/desmond/Documents/master_thesis/Stormcast-Distilation/zettabyte_results/flowcast/flowcast_ncdr/run_0/checkpoints_flowcast/FlowCastPrecond.0.37500.mdlus,89.06041641235352,1.4925172328948975,0.2999275028705597,0.017796030116358646,1.8832935094833374,1.1596543788909912,2.253711223602295,0.6734098792076111,0.3601505756378174,0.3070317208766937,0.19851288199424744,0.33401474356651306
