method,threshold_mm_h,csi,far,pod,hss,frequency_bias,tp,fp,fn,tn
teacher_N18,0.1,0.130655,0.847822,0.480192,0.113467,3.155467,24061,134050,26046,389283
teacher_N18,1.0,0.118642,0.841392,0.320117,0.181547,2.018294,5127,27198,10889,530226
teacher_N18,2.5,0.264687,0.532038,0.378628,0.412519,0.809099,2505,2848,4111,563976
teacher_N18,5.0,0.242914,0.513146,0.326511,0.388158,0.670655,1037,1093,2139,569171
teacher_N18,10.0,0.120257,0.667205,0.158462,0.213545,0.476154,206,413,1094,571727
teacher_N18,20.0,0.050193,0.864583,0.073864,0.095392,0.545455,13,83,163,573181
teacher_N18,50.0,0.000000,nan,nan,nan,nan,0,0,0,573440
progressive_N2,0.1,0.132132,0.860950,0.726465,0.101649,5.224480,36401,225382,13706,297951
progressive_N2,1.0,0.137454,0.843866,0.534653,0.207422,3.424326,8563,46281,7453,511143
progressive_N2,2.5,0.305715,0.546048,0.483525,0.461867,1.065145,3199,3848,3417,562976
progressive_N2,5.0,0.343596,0.454513,0.481423,0.508907,0.882557,1529,1274,1647,568990
progressive_N2,10.0,0.141198,0.592593,0.177692,0.246418,0.436154,231,336,1069,571804
progressive_N2,20.0,0.030837,0.879310,0.039773,0.059686,0.329545,7,51,169,573213
progressive_N2,50.0,0.000000,nan,nan,nan,nan,0,0,0,573440
consistency_N1,0.1,0.153016,0.820092,0.505857,0.156709,2.811763,25347,115542,24760,407791
consistency_N1,1.0,0.181284,0.697810,0.311813,0.286692,1.031843,4994,11532,11022,545892
consistency_N1,2.5,0.282938,0.453408,0.369710,0.435826,0.676391,2446,2029,4170,564795
consistency_N1,5.0,0.273508,0.446047,0.350756,0.427075,0.633186,1114,897,2062,569367
consistency_N1,10.0,0.124702,0.642735,0.160769,0.220654,0.450000,209,376,1091,571764
consistency_N1,20.0,0.048583,0.855422,0.068182,0.092486,0.471591,12,71,164,573193
consistency_N1,50.0,0.000000,nan,nan,nan,nan,0,0,0,573440
flowcast_N10,0.1,0.180274,0.738305,0.366855,0.226592,1.401840,18382,51860,31725,471473
flowcast_N10,1.0,0.230745,0.546622,0.319680,0.360189,0.705107,5120,6173,10896,551251
flowcast_N10,2.5,0.273866,0.473500,0.363362,0.424555,0.690145,2404,2162,4212,564662
flowcast_N10,5.0,0.205995,0.536427,0.270466,0.338920,0.583438,859,994,2317,569270
flowcast_N10,10.0,0.083799,0.697309,0.103846,0.153659,0.343077,135,311,1165,571829
flowcast_N10,20.0,0.000000,1.000000,0.000000,-0.000116,0.232955,0,41,176,573223
flowcast_N10,50.0,0.000000,nan,nan,nan,nan,0,0,0,573440
